Grupo de Pesquisa,Instituição,Líder 1,Líder 2,Área
Análise e Modelamento Dinâmicos da Prosódia da Fala,UNICAMP,Plinio Almeida Barbosa,Sandra Madureira,Lingüística
"Análise e Monitoramento Geoambiental de Águas, Solos e Sedimentos na Bacia do Alto Paraopeba",FASAR,Raphael de Vicq Ferreira da Costa,Lucas Pereira Leão,Engenharia Sanitária
Análise e perspectivas da arbitragem na Administração Pública,UVA/RJ,Rafael Carvalho Rezende Oliveira,,Direito
Análise e Processamento de Imagens,UFPE,Ana Lúcia Bezerra Candeias,Joao Rodrigues Tavares Junior,Geociências
Análise e Produção da Forma,UFU,Luis Eduardo dos Santos Borda,,Arquitetura e Urbanismo
Análise e Projeto de Sistemas Mecânicos,UFCG,Antonio Almeida Silva,Carlos José de Araújo,Engenharia Mecânica
Análise e Representação da Forma,UFF,Luciana Nemer Diniz,,Arquitetura e Urbanismo
Análise e Simulações de Partículas,UFRGS,Gustavo Gil da Silveira,,Física
ANÁLISE E SÍNTESE DE AGROQUÍMICOS,UFV,Luiz Cláudio de Almeida Barbosa,Antonio Jacinto Demuner,Química
Análise e Síntese em Biodiversidade,UFPR,Andre Andrian Padial,,Ecologia
ANÁLISE ECONÔMICA DA LITIGÂNCIA EMPRESARIAL E OS IMPACTOS NO SISTEMA DE JUSTIÇA,FMC,Marcelo Veiga Franco,,Direito
Análise Econômica do Direito,PUC/PR,Oksandro Osdival Gonçalves,Marcia Carla Pereira Ribeiro,Direito
ANÁLISE ECONÔMICA DO DIREITO E DESENVOLVIMENTO SOCIAL,UnC,Edgar José Galilheti,Jeison Francisco de Medeiros,Direito
"Análise Econômica do Direito, Regulação e Concorrência",INSPER,Paulo Furquim de Azevedo,,Direito
ANÁLISE ECONÔMICA DO DIREITO: FUNDAMENTOS PARA INVESTIGAÇÃO DE PROBLEMAS DO DIREITO CONTEMPORANEO E A AMAZÔNIA,CESUPA,Jean Carlos Dias,,Direito
Análise Econômica do Direito: eficiência dos institutos jurídicos,UNIFOR,Uinie Caminha,,Direito
Análise Econômica Quantitativa,UFV,Leonardo Bornacki de Mattos,Wilson da Cruz Vieira,Economia
Análise Econômico e Financeira de Empresas e Inovações nos Processos Decisórios de Negócios,FAE,Solídia Elizabeth dos Santos,,Economia
Análise em Fluxo e Caracterização Analítica,UFPE,Ana Paula Silveira Paim,,Química
Análise Empírica e Econometria,UFRRJ,Roberto Salvador Santolin,,Economia
Análise Envoltória de Dados: modelos avançados e eco-eficiência,UFF,Lidia Angulo Meza,,Engenharia de Produção
Análise Espacial e Dinâmica Ambiental,UNIFAL/MG,Felipe Gomes Rubira,Lineo Aparecido Gaspar Junior,Geografia
Análise Espacial Integrada de Ambientes Costeiros e Oceânicos,UNIFESP,Gilberto Pessanha Ribeiro,Marcia Cristina de Souza Matos Carneiro,Geociências
"ANÁLISE ESPACIAL, GEOAMBIENTE E SAÚDE",ULBRA,Micheline Pimentel Ribeiro Cavalcante,Tássia Silvana Borges,Saúde Coletiva
Análise Estática e Dinâmica de Fundações e Interação Solo x Estrutura,UERJ,Bernadete Ragoni Danziger,,Engenharia Civil
Análise Estatística Aplicada,UNEMAT,Adriana Matheus da Costa de Figueiredo,Ana Carolina Dias Guimarães,Probabilidade e Estatística
Análise estatística de dados de monitoramento ambiental,UFMG,Silvia Maria Alves Correa Oliveira,,Engenharia Sanitária
Análise estatística e socioeconômica referente à fiscalização do trabalho análogo ao de escravo no estado de,UFMG,Lívia Mendes Moreira Miraglia,,Direito
"ANÁLISE ESTATÍSTICA EM SANEAMENTO, SAÚDE E EDUCAÇÃO",UEPB,Celeide Maria Belmont Sabino Meira,Rui de Oliveira,Probabilidade e Estatística
"Análise Estatística, Modelagem e Otimização de Processos de Buscas Aleatórias",UFPE,Ernesto Carneiro Pessoa Raposo,,Física
Análise Estrutural e Dinâmica,PUC Minas,Pedro Américo Almeida Magalhães Júnior,Jánes Landre Júnior,Engenharia Mecânica
"Análise Estrutural, Vibrações e Acústica",CEFET/RJ,Felipe do Carmo Amorim,Daniel Lourenço Roberto Santos,Engenharia Mecânica
Análise Experimental de Estruturas,UNESC,Ângela Costa Piccinini,,Engenharia Civil
Análise experimental de processos comportamentais básicos e complexos,UEL,Carlos Eduardo Costa,,Psicologia
Análise Experimental do Comportamento,UFPA,Olavo de Faria Galvão,Ana Leda de Faria Brino,Psicologia
Análise Farmacêutica e Ambiental,UFG,Eric de Souza Gil,Wallans Torres Pio dos Santos,Química
"Análise formal, estrutural e temática de obras em língua portuguesa de autoras do século XX",UFSC,Luana Barossi,,Letras
Análise Funcional,UNICENTRO,Thiago Grando,,Matemática
Análise funcional da interação parasito-hospedeiro,FIOCRUZ,Patricia Cuervo Escobar,,Parasitologia
Análise funcional de moléculas associadas com o desenvolvimento e progressão tumoral,UNICAMP,Gustavo Jacob Lourenço,,Medicina
Análise Funcional linear e não-linear,UFPB,Daniel Marinho Pellegrino,,Matemática
Análise Geométrica,UFAL,Marcos Petrucio de Almeida Cavalcante,,Matemática
Análise Geométrica e aplicações,UFF,Zhou Detang,,Matemática
Análise Geométrica e aplicações em imersões isométricas,UFPB,Allan George de Carvalho Freitas,,Matemática
Análise Geométrica e Equações Diferenciais Parciais,UFPI,Leandro de Freitas Pessoa,José Francisco Alves de Oliveira,Matemática
Análise Gráfica e Estratégias Projetuais,UNICID,Edvania Helenice Dantas Comitre,Rodrigo Vitorino Assumpção,Arquitetura e Urbanismo
Análise harmônica e EDPs dispersivas/parabólicas,UFS,Marcelo Fernandes de Almeida,Wilberclay Gonçalves Melo,Matemática
Análise Harmônica e Equações Diferencias Parciais,USP,Marcelo Rempel Ebert,Nikolai Vasilievich Chemetov,Matemática
Análise histopatológica no diagnóstico anatomopatológico,UFTM,Mara Lúcia Fonseca Ferraz,,Medicina
Análise Inorgânica Aplicada à Determinação de Traços,UEM,Edivaldo Egea Garcia,,Química
Análise Institucional e Saúde Coletiva,UNICAMP,Solange L'Abbate,Luciane Maria Pezzato,Saúde Coletiva
Análise Instrumental e Tecnologia Química - LAITEC,UTFPR,Éder Lisandro de Moraes Flores,Oldair Donizeti Leite,Química
Análise Integrada do Meio Físico,UNIFAL/MG,Diego de Souza Sardinha,Carmino Hayashi,Geociências
Análise integrada na Bacia hidrográfica do rio Xingu,UFPA,Livânia Norberta de Oliveira,,Geografia
Análise integrada na Bacia hidrográfica do rio Xingu,UFPA,Livânia Norberta de Oliveira,,Geografia
Análise Inteligente de Dados,IFSC,Carlos Andres Ferrero,André Salvaro Furtado,Ciência da Computação
Análise Linguística na escola,UFJF,Natália Sathler Sigiliano,,Lingüística
"Análise Linguística, Ensino e Formação",UNIOESTE,Maridelma Laperuta Martins,,Lingüística
Análise Matemática,UERJ,Patrícia Nunes da Silva,Andre Luiz Cordeiro dos Santos,Matemática
Análise Matemática,UEPG,Jocemar de Quadros Chagas,,Matemática
Análise Matemática e Aplicações,UFAL,Rinaldo Vieira da Silva Júnior,Isnaldo Isaac Barbosa,Matemática
Análise Matemática e Equações Diferenciais Parciais,UNIFESP,Gleiciane da Silva Aragão,,Matemática
Análise Matemática e Equações Diferenciais Parciais,UFDPar,Cleyton Natanael Lopes de Carvalho Cunha,Haroldo Rodrigues Clark,Matemática
Análise Não Linear de Estruturas,UFF,Mauro Schulz,,Engenharia Civil
Análise não linear e aplicações,UnB,Marcelo Fernandes Furtado,,Matemática
ANÁLISE NÃO LINEAR E EQUAÇÕES DIFERENCIAIS PARCIAIS,UFPI,José Francisco Alves de Oliveira,,Matemática
Análise Não-Linear,UFAL,Márcio Henrique Batista da Silva,Márcio Cavalcante de Melo,Matemática
Análise Numérica,UFERSA,Elmer Rolando Llanos Villarreal,,Matemática
Análise Numérica de Estruturas,UFG,Zenón José Guzmán Del Prado,Daniel de Lima Araújo,Engenharia Civil
ANÁLISE NUMÉRICA DO COMPORTAMENTO NÃO LINEAR DE ESTRUTURAS,UFV,Marilia Gonçalves Marques,,Engenharia Civil
Análise Numérica e Experimental de Escoamentos Complexos,UFF,Malú Grave,,Engenharia Civil
Análise Numérica e Experimental de Estruturas,UPF,Zacarias Martin Chamberlain Pravia,Moacir Kripka,Engenharia Civil
Análise Numérica e Experimental de Estruturas e Materiais,UFF,Mayra Soares Pereira Lima Perlingeiro,Camila Aparecida Abelha Rocha,Engenharia Civil
Análise Numérica e Simulação Computacional,UNESP,Cassio Machiaveli Oishi,,Matemática
Análise numérica para grandes deformações,UFRJ,Marcello Goulart Teixeira,,Ciência da Computação
Análise Numérica Para Problemas Não Lineares,UEA,Sílvia Cristina Belo e Silva,,Matemática
"Análise Numérica, Otimização e Tecnologia da Informação - ANOTi",UFF,Wagner Rambaldi Telles,Rodolfo Alves de Oliveira,Ciência da Computação
"Análise Orgânica Instrumental, Bioprospecção e Metabolômica Vegetal",UFSC,Marcelo Maraschin,Rosendo Augusto Yunes,Química
Análise Regional da Dinâmica da Paisagem,UNIOESTE,Julio Cesar Paisani,,Geografia
Analise Retorica Biblica Semitica,PUC-Rio,Waldecir Gonzaga,,Teologia
Análise sensorial,UEL,Sandra Helena Prudencio,Marta de Toledo Benassi,Ciência e Tecnologia de Alimentos
Análise Sensorial de Alimentos,UFPEL,Marcia Arocha Gularte,,Ciência e Tecnologia de Alimentos
Análise Sensorial de Alimentos,UFV,Valeria Paula Rodrigues Minim,,Ciência e Tecnologia de Alimentos
Análise Sensorial e Nutrição-ASENSONUT,UTFPR,Saraspathy Naidoo Terroso Gama de Mendonça,William Arthur Philip L Naidoo Terroso de Mendonça Brandão,Ciência e Tecnologia de Alimentos
Análise Sensorial/Avaliação da Qualidade e Estudos com Consumidores,UFC,Maria do Carmo Passos Rodrigues,,Ciência e Tecnologia de Alimentos
Análise Sistêmico-Funcional e Avaliação do Discurso (ASFAD),PUC-Rio,Adriana Nogueira Accioly Nóbrega,,Lingüística
Análise Tectônica de Terrenos e Bacias,UFG,Marco Antonio Caçador Martins-Ferreira,,Geociências
"Análise Teórica, Numérica e Matemática Computacional de EDPs e Geometria Diferencial",UESPI,Pitágoras Pinheiro de Carvalho,,Matemática
Análise Térmica Aplicada,UTFPR,Henrique Emilio Zorel Junior,,Química
"Análise, Computação e Estudos Econômicos de Sistemas de Energia",UNESP,Leonardo Nepomuceno,Antonio Roberto Balbo,Engenharia Elétrica
"Análise, Modelagem, Simulação e Controle de Processos Químicos",USP,Pedro Felipe Arce Castillo,,Engenharia Química
"Análise, planejamento e gestão de bacias hidrográficas com ênfase em áreas sujeitas a inundações e estiagens",UNICAMP,Raul Reis Amorim,Gustavo Barreto Franco,Geografia
"Análise, Sistemas Dinâmicos e Algoritmos",UNESP,Murilo Rodolfo Cândido,,Matemática
Análise/Matemática Aplicada,UFRR,Edwin Pedro López Bambarén,Erivaldo Diniz de Lima,Matemática
Análises Ambientais na Amazônia,UEPA,Hebe Morganne Campos Ribeiro,Andrea Kely Campos Ribeiro dos Santos,Geociências
Análises Clínicas,UFAM,Emersom Silva Lima,José Pereira de Moura Neto,Farmácia
"Análises clínicas, micologia e suas interfaces",UFU,Reginaldo dos Santos Pedroso,Ralciane de Paula Menezes,Farmácia
Análises cromossômicas e moleculares,UFMT,Vanessa Veltrini Abril,Ludier Kesser Santos Silva,Genética
Análises e desenvolvimento de metodologias químicas,IFRS,Alessandra Smaniotto,Francisco Cunha da Rosa,Química
Análises econômica e social do Direito brasileiro: perspectivas e contradições,UNIMAR,Rafael José Nadim de Lazari,Ricardo Pinha Alonso,Direito
Análises Econômicas em Saúde,HCPA,Carísi Anne Polanczyk,,Medicina
Análises em Sistemas Sustentáveis,EMBRAPA,Roberto Lisboa Cunha,,Recursos Florestais e Engenharia Florestal
Análises filogenéticas e os processos de diversificação biológica,UFRJ,Claudia Augusta de Moraes Russo,Ana Carolina Martins Junqueira,Genética
Analises Moleculares e Virologia,UNIARARAS,Carlos Roberto Escrivao Grignoli,,Medicina
Análises Moleculares em Vegetais Superiores,UNESP,Celso Luis Marino,Ivan de Godoy Maia,Genética
"Análises Química, Físico-Química e Biológica de Substâncias Líquidas ou Sólidas de Produtos Naturais, Sintéticos ou Biotransformados",CESUMAR,José Eduardo Gonçalves,,Química
Análises Químicas Aplicada,UFRR,Mirla Janaina Augusta Cidade,Francisco dos Santos Panero,Química
Análises Químicas e Sensoriais de Alimentos,UESB,Silmara Almeida de Carvalho,Gabrielle Cardoso Reis Fontan,Ciência e Tecnologia de Alimentos
Análises térmicas e espectrometria de combustiveis e materiais - LATECOM,UTFPR,Paulo Rodrigo Stival Bittencourt,Fernando Reinoldo Scremin,Química
Análises Toxicológicas e Toxicovigilância,UEM,Miguel Machinski Junior,,Farmácia
ANALISTRU,UEM,Nara Villanova Menon,Wilson Wesley Wutzow,Engenharia Civil
AnalitCH - Análise de Corpos Hídricos e Estudos Ambientais,UFRA,Pedro Moreira de Sousa Junior,,Ciências Ambientais
Analítica: análise de produtos e processos midiáticos contemporâneos,UFBA,Edson Fernando Dalmonte,,Comunicação
Analysis,UFCA,Valdetonio Pereira de Alencar,Renato Mendes Rocha,Filosofia
Analytics & Operational Research,UFRJ,Pedro Henrique González Silva,Vanessa de Almeida Guimarães,Ciência da Computação
ANANSE.GEPHADA,UFS,Mariana Bracks Fonseca,Carlos Franco Liberato de Sousa,História
Anarchai - Filosofia e o contemporâneo,UnB,Hilan Nissior Bensusan,Gabriela Lafetá Borges,Filosofia
"ANATOMIA ANIMAL, COMPARADA E DIVERSIDADE GENÉTICA",UFMA,Nathalya dos Santos Martins,,Medicina Veterinária
Anatomia Aplicada à Imaginologia,UFMG,Micena Roberta Miranda Alves e Silva,,Morfologia
Anatomia aplicada às ciências médicas,UFSC,Tayara Faria Ruaro,,Medicina
Anatomia cirurgica dos membros e suas aplicações.,PUC/SP,Edie Benedito Caetano,,Medicina
Anatomia Clínica e Aplicada a Educação,CEUNSP,Marcelo Rodrigues da Cunha,,Fisioterapia e Terapia Ocupacional
"Anatomia Comparada, Historia Natural e Sistematica de Anfibios Anuros Neotropicais",UFRRJ,Hélio Ricardo da Silva,,Zoologia
"Anatomia Comparada, Historia Natural e Sistematica de Anfibios Anuros Neotropicais",UFRRJ,Hélio Ricardo da Silva,,Zoologia
Anatomia da madeira de especies amazonicas,UEPA,Cláudia Viana Urbinati,Luiz Fernandes Silva Dionisio,Recursos Florestais e Engenharia Florestal
Anatomia da madeira e dendrocronologia,FURB,Karin Esemann de Quadros,,Recursos Florestais e Engenharia Florestal
Anatomia das Paixões,UFRJ,Maira Monteiro Froes,,Biofísica
Anatomia de plantas da Amazônia,MPEG,Ely Simone Cajueiro Gurgel,Ana Cristina Andrade de Aguiar Dias,Botânica
ANATOMIA E ELETROMIOGRAFIA APLICADA AO CORE,UFU,Frederico Balbino Lizardo,,Educação Física
Anatomia e embriologia aplicadas à pesquisa e educação médica,CESUMAR,Heber Amilcar Martins,Aline Rosa Marosti,Morfologia
Anatomia e Macroevolução de Vertebrados,UnB,Julia Klaczko,,Zoologia
Anatomia e Técnica Cirúrgica de Cães e Gatos,UNINGA,Leonardo Martins Leal,,Medicina Veterinária
Anatomia e Ultraestrutura das Plantas Superiores,USP,Beatriz Appezzato da Glória,,Botânica
Anatomia Funcional do Aparelho Urogenital,PUC Minas,Paulo Franco Taitson,Maria do Carmo Borges de Souza,Morfologia
Anatomia Humana,ULBRA,Ana Maria Pujol Vieira dos Santos,,Morfologia
ANATOMIA MOLECULAR,UFS,Tânia Maria de Andrade Rodrigues,Sydney Correia Leao,Medicina
Anatomia Patológica,UFAM,Tatiana Nayara Libório Kimura,Luciana Botinelly Mendonça Fujimoto,Medicina
ANATOMIA PATOLÓGICA,IB,Claudia Del Fava,,Medicina Veterinária
Anatomia Vegetal Aplicada,UFV,Renata Maria Strozi Alves Meira,Aristéa Alves Azevedo,Botânica
Anatomia Vegetal de Sistemas Subterrâneos,UNESP,Aline Redondo Martins,,Botânica
"Anatomia vegetal: conhecimento, diversidade e aplicações",UFPEL,Marcelo dos Santos Silva,,Botânica
"Anatomia, Sistemática, Biogeografia e Evolução de Aves",UNESP,Reginaldo José Donatelli,Sérgio Roberto Posso,Zoologia
AnatoVivo,FEJAL,Ralmony de Alcantara Santos,,Educação Física
Ancestralizando à Educação (AaE),UVA/RJ,Giovanni Codeça da Silva,,Educação
ANCLINFAR - Pesquisa em Análises Clínicas e Biociências Aplicadas à Farmácia,UEPG,José Carlos Rebuglio Vellosa,,Farmácia
ÂNCORA: grupo de pesquisas em territórios socioculturais,UERJ,Regina Gloria Nunes Andrade,Patricia Sobral de Miranda,Psicologia
Andanças - Laboratório de Etnografia,UFRR,José Manuel Flores López,,Antropologia
Anelasticidade e Biomateriais,UNESP,Carlos Roberto Grandini,Diego Rafael Nespeque Correa,Física
Anestesia e Dor,UFF,Ismar Lima Cavalcanti,,Medicina
Anestesiologia Clínica,UFS,Fabricio Dias Antunes,,Medicina
Anestesiologia e Analgesia Veterinária - PainLab,UEM,Marilda Onghero Taffarel,,Medicina Veterinária
Anestesiologia e Analgesia Veterinária / UFRR,UFRR,Fabíola Niederauer Flôres,,Medicina Veterinária
Anestesiologia e Cirurgia de Ruminantes,UNESP,Celso Antonio Rodrigues,Paulo Sergio Patto dos Santos,Medicina Veterinária
Anestesiologia e Medicina de Emergência Veterinária,UFMS,Fabrício de Oliveira Frazílio,Mariana Isa Poci Palumbo,Medicina Veterinária
ANESTESIOLOGIA E TERAPEUTICA VETERINÁRIA,UFES,Marshal Costa Leme,Silvia Renata Gaido Cortopassi,Medicina Veterinária
Anestesiologia UEA,UEA,Juscimar Carneiro Nunes,Leopoldo Palheta Gonzalez,Medicina
Anestesiologia UFAM,UFAM,Juscimar Carneiro Nunes,Chang Yen Yin,Medicina
Anestesiologia Veterinaria,UFERSA,Valéria Veras de Paula,Raimundo Alves Barrêto Júnior,Medicina Veterinária
"Anestesiologia, dor e medicina perioperatória",UFRN,Wallace Andrino da Silva,,Medicina
ANESTVET/CAV,UDESC,Nilson Oleskovicz,Aury Nunes de Moraes,Medicina Veterinária
Angioplastia Ambulatorial,UERJ,Esmeralci Ferreira,,Medicina
Anglia- Grupo de Estudos de Língua e Literaturas Anglófonas,UEMG,Delzi Alves Laranjeira,Gabriela da Cunha Barbosa Saldanha,Letras
ANGLOLIT - Grupo de pesquisa em língua inglesa e literatura anglófona.,IFPI,Israel Alves Correa Noleto,Jivago Araújo Holanda Ribeiro Gonçalves,Letras
Ànima,UFU,Eliane Maria de Carvalho,Célia Regina Lopes,Fisioterapia e Terapia Ocupacional
Ânima,UNESP,Sheila Farias Alves Garcia,,Administração
Animais de trabalho e companhia no semiárido brasileiro,UFRPE,Juliano Martins Santiago,,Zootecnia
Animais peçonhentos,UFMS,Malson Neilson de Lucena,,Bioquímica
Animais Peçonhentos e Herpetologia,UEFS,Ilka Biondi,,Zoologia
Animais Selvagens: Conservação Biológica e Divulgação Científica,UNESP,Lígia Souza Lima Silveira da Mota,,Genética
Animalia: Grupo de Estudos sobre as Relações entre Humanos e Animais na Antiguidade,UnB,Camila da Silva Condilo,Pedro Ribeiro Martins,História
AnimaMídia: Grupo de Pesquisa em Desenhos Animados,UFF,Ariane Diniz Holzbach,,Comunicação
"Animus Grupo de Pesquisa: Filosofia, Natureza e Direito dos Animais",UNEB,Flávio de Oliveira Silva,,Filosofia
"ANÔMALOS - Pesquisas e estudos em gênero, sexualidades, classe e etnicidades/raça",UFCAT,Eliane Martins de Freitas,Rhanielly Pereira do Nascimento Pinto,História
ANPPEA - Articulação Nacional de Políticas Públicas de Educação Ambiental,INPE,Evandro Albiach Branco,Maria Henriqueta Andrade Raymundo,Ciências Ambientais
"ANTARCTICA - Antropologia, Ambiente, Resíduos, C&T e Interdisciplinaridade em Cosmopolíticas Antárticas",UnDF,Luís Guilherme Resende de Assis,,Antropologia
Antenas e Optoeletrônica,ITA,Gefeson Mendes Pacheco,Daniel Chagas do Nascimento,Engenharia Elétrica
"ANTHROPOLOGICUS - Grupo de Pesquisa em Antropologia, Psicanálise e Educação",UNEB,Osvaldo Francisco Ribas Lobos Fernandez,,Antropologia
ANTHROPOS,UESB,João Phelipe Santiago,,Geografia
Anticapitalismos e Sociabilidades Emergentes,UFFS,Cássio Cunha Soares,Rodrigo Chaves de Mello Rodrigues de Carvalho,Sociologia
Anticorpos monoclonais neutralizantes para patógenos e toxinas,IBU,Ana Maria Moro,Sonia Aparecida de Andrade Chudzinski,Imunologia
"Antigo Regime nos Trópicos: Centro de Estudos sobre a Dinâmica Imperial no Mundo Português, secs. XVI-XIX",UFRJ,Antonio Carlos Jucá de Sampaio,Roberto Guedes Ferreira,História
ANTIGO SISTEMA COLONIAL: ESTRUTURA E DINÂMICA,USP,Rodrigo Ricupero,,História
Antigos e Modernos: questões contemporâneas,UNILA,Patricia Nakayama,Rogério Gimenes de Campos,Filosofia
"Antiguidade e Contemporaneidade em perspectiva: Espaços, Identidades e Hibridismos - NEREIDA (Núcleo de Estudos de Representações e de Imagens da Antiguidade)",UFF,Adriene Baron Tacla,,História
Antiguidade e Modernidade: História Antiga e Usos do Passado,UNIFESP,Glaydson José da Silva,Renata Senna Garraffoni,História
"Antiguidade, Cultura Material e Patrimônio Arqueológico: histórias e desafios contemporâneos.",UDESC,Filipe Noe da Silva,,História
ANTIGUIDADES MARGINAIS,UECE,Vicente Thiago Freire Brazil,,Filosofia
AntiLab - Laboratório de Pesquisas Antidisciplinares,UFPB,Daniel Figueiredo de Oliveira,,Educação
Antilaboratório de Direito Animal (ANDIRA),CESG,Daniel Braga Lourenço,,Direito
Antioxidantes e metabolismo de tecidos mineralizados,USP,Karina Fittipaldi Bombonato Prado,,Odontologia
Antioxidantes Naturais,UFSC,Roseane Fett,Ana Carolina de Oliveira Costa,Ciência e Tecnologia de Alimentos
Antitumorais: fitoestrógenos e toxinas animais no câncer de mama,USP,Maria Regina Torqueti Toloi,,Fisiologia
Antropocen(o)ários,UFSM,José Luiz de Moura Filho,,Ciência Política
Antropoceno: Historia Ambiental e Tecnogênese,UEFS,Marjorie Cseko Nolasco,,Ciências Ambientais
Antropoéticas: coletivo de pesquisa em ação,UFPEL,Claudia Turra Magni,Patrícia dos Santos Pinheiro,Antropologia
Antropologia da Guerra e dos Militares,UFSCAR,Piero de Camargo Leirner,,Antropologia
"Antropologia da Política, Cultura Midiática e Práticas Políticas",UFCG,Elizabeth Christina de Andrade Lima,,Antropologia
Antropologia das migrações,UFSCAR,Igor José de Renó Machado,Victor Hugo Martins Kebbe da Silva,Antropologia
Antropologia das Paisagens: memórias e imaginários na Amazônia - Naverrâncias,UFPA,Flávio Leonel Abreu da Silveira,,Antropologia
"Antropologia do consumo, da domesticidade e do cotidiano- GADOC",UEMG,Shirley Alves Torquato,,Antropologia
Antropologia e Educação,UFRRJ,Miriam de Oliveira Santos,Cássia Maria Baptista de Oliveira,Antropologia
Antropologia e História das Religiões no século XX. Teorias e métodos,UNIFESP,Maria Cristina Pompa,,Antropologia
Antropologia e os direitos sociais dos indígenas e dos migrantes refugiados,UFRR,Carlos Alberto Marinho Cirino,Newton Ricardo Pereira Souza,Antropologia
ANTROPOLOGIA FORENSE,UFSC,Elisa Cristiana Winkelmann Duarte,Beatriz Álvares Cabral de Barros,Morfologia
Antropologia Forense e Identificação de Pessoas,DPF,Carlos Eduardo Palhares Machado,Melina Calmon Silva,Morfologia
Antropologia na Educação Básica,IFPB,Marcelo da Silva Araújo,Gekbede Dantas Targino,Antropologia
"Antropologia Política e Conflitos: pesquisas empíricas sobre burocracias, religiões e mobilizações sociais",UFF,Ana Paula Mendes de Miranda,Bóris Maia e Silva,Antropologia
Antropologia Teológica,UNISAL,Antonio Wardison Canabrava da Silva,Sérgio Augusto Baldin Júnior,Teologia
Antropologia Visual em Alagoas/AVAL,UFAL,Silvia Aguiar Carneiro Martins,Siloé Soares de Amorim,Antropologia
"Antropologia, Corpo e Ambiente",UNEB,Elizeu Pinheiro da Cruz,,Antropologia
"ANTROPOLOGIA, DIREITOS HUMANOS E POVOS TRADICIONAIS",UFMS,Antonio Hilario Aguilera Urquiza,José Paulo Gutierrez,Antropologia
"Antropologia, Fronteiras, Espaços e Cidadania",UCSAL,Julie Sarah Lourau Alves da Silva,Germana Pinheiro de Almeida Felix,Antropologia
"Antropologia, Imagem e Patrimônio Cultural",UFPA,Fabiano de Souza Gontijo,Daniel Oliveira Terto,Antropologia
"Antropologia, Jovens e Juventudes",UFFS,Ivan Paolo de Paris Fontanari,,Antropologia
Antropometria 1D/3D e Modelos Humanos Digitais 3D,INT,Flávia Cristine Hofstetter Pastura,,Engenharia de Produção
ANTROPOS - Grupo de Pesquisas em Antropologia Social e Interseccionalidades,UFPI,Mariane da Silva Pisani,Mônica da Silva Araujo,Antropologia
ANTUR - Grupo de Pesquisa em Antropologia e Turismo,UFS,Rosana Eduardo da Silva Leal,Denio Santos Azevedo,Turismo
"APAA - ANÁLISES E PESQUISAS DE ALIMENTOS, BEBIDAS E AMBIENTAL",IFMA,Arlan Silva Freitas,Gilmar Silverio da Silva,Química
Apagamentos da memória na arte,UFRGS,Mônica Zielinsky,,Artes
APASTO - Produção Animal em Pastagens - RS,UFRGS,Marcelo Abreu da Silva,Ana Paula Ott,Zootecnia
"Apeiron - Grupo de História, Filosofia e Ensino de Ciências",UFSC,Luiz Orlando de Quadro Peduzzi,Anabel Cardoso Raicik,Educação
Ápeiron: Estudos em Física e Metafísica,IFTM,Luiz Maurício Bentim da Rocha Menezes,Ricardo Spagnuolo Martins,Filosofia
Aperfeiçoamento de práticas e pesquisas de enfermagem com Ultrassonografia Point of Care,UERJ,Flavia Giron Camerini,Danielle de Mendonça Henrique,Enfermagem
APG - Associated Physicists Group,UEA,Marceliano Eduardo de Oliveira,George Chaves da Silva Valadares,Física
"APHECAB: Acervo de partituras Hermelindo Castello Branco: catalogação, análise, interpretação e divulgação da canção de concerto do Brasil.",UFPEL,Lenine Santos,Adriana Giarola Kayama,Artes
"Aphrodite - Association for researching dwelling, industrial, and transportation efficiency",IFES,Pablo Rodrigues Muniz,,Engenharia de Energia
APICRIM- Grupo de Pesquisas em Tecnologias Sociais e ApÃ­colas e RecuperaÃ§Ã£o de Ã¡reas degradadas,UFOP,Sandra Lima de Moura,,Medicina Veterinária
Apicultura no Semiárido,IFCE,Raimundo Maciel Sousa,,Agronomia
APIMELI ZOOTEC,UEMA,Eleuza Gomes Tenório,,Zootecnia
"APIS - Laboratório de Tecnologia e Inovação na Educação, Pesquisa e Extensão em Atenção Psicossocial e Drogas",UFSC,Silvana Kempfer Borges,Emilene Reisdorfer,Enfermagem
"APLAGET - Analise Ambiental, Planejamento e GestÃ£o Territorial",UESB,Meirilane Rodrigues Maia,Edvaldo Oliveira,Geociências
Aplicabilidade Clinica do Transplante de Microbiota Intestinal,UFAL,Manoel Alvaro de Freitas Lins Neto,,Medicina
Aplicação Biotecnológica de fungos,IBU,Ana Olívia de Souza,,Microbiologia
Aplicação da Algebra Matemática e Inteligência Artificial nas Engenharias-(AAMIAE),UFMA,Jailson Calado da Silva,,Matemática
Aplicação da Bioquímica redox para desenvolvimento de inovações tecnológicas,UFRJ,Marcos Dias Pereira,,Bioquímica
Aplicação da biotecnologia no controle de doenças de plantas,UEM,William Mário de Carvalho Nunes,Maria Júlia Corazza,Agronomia
Aplicação da Nanotecnologia no Desenvolvimento de Nanocarreadores para Ativos Farmacêuticos,UFRJ,Eduardo Ricci Júnior,,Farmácia
Aplicação das Tecnologias da Informação e Comunicação em Educação - APLIC,UPE,Sônia Regina Fortes da Silva,Mirele Moutinho Lima,Educação
Aplicação de efluentes das atividades agropecuária e agroindustrial no solo,UEM,Paulo Sérgio Lourenço de Freitas,Altair Bertonha,Engenharia Agrícola
