Grupo de Pesquisa,Instituição,Líder 1,Líder 2,Área
Desenvolvimento do Conhecimento Tecnológico sobre o Aparelho Locomotor,UFPR,Luiz Antônio Munhoz da Cunha,,Medicina
Desenvolvimento Regional na Construção de Sociedade Sustentável na Amazônia,IFAM,Neidilê Munhoz,Maria Goretti Falcao de Araújo,Educação
"Design e Estratégia aplicados a Estudos sobre Inovação, Interação e Informação",ESPM,Marco Aurelio de Souza Rodrigues,Leonardo Marques de Abreu,Desenho Industrial
"DESIGN, INOVAÇÃO E IMPRESSÃO 3D NA ÁREA DA SAÚDE",UEL,Sônia Maria Fabris Luiz,,Fisioterapia e Terapia Ocupacional
"Detecção, Monitoramento e Manejo de Pragas no Ecossistema Cerrado-Pantanal",UEMS,Luiza Cristiane Fialho Zazycki,,Agronomia
DIA - Data Intelligent Analysis,UFT,Edeilson Milhomem da Silva,Jackson Gomes de Souza,Ciência da Computação
Diagnóstico laboratorial de doenças infecciosas e não infecciosas,CEI,Mariana Felgueira Pavanelli,,Medicina
Diálogos em Turismo e Educação,IFBA,Adriana Melo Santos,Glauria Janaina dos Santos,Turismo
"Diálogos: saúde, educação e sociedade",UFCSPA,Annie Jeanninne Bisso Lacchini,,Enfermagem
Diplomacia de Defesa no Entorno Estratégico Brasileiro,ESG,Danilo Marcondes de Souza Neto,,Defesa
"Direito Constitucional Contemporâneo, Constitucionalismo Econômico Global e Globalização",UEMG,Jamile Gonçalves Calissi,,Direito
"Direito Constitucional, Acesso ao Sistema de Justiça e Desenvolvimento Sustentável",UNIR,Thais Bernardes Maganhini,Layde Lana Borges da Silva,Direito
"Direito, Políticas Públicas e Inovação",UniCEUB,Liziane Paixão,Clara Cardoso Machado Jaborandy,Direito
"DIREITOS DA NATUREZA, RACIONALIDADE AMBIENTAL E EDUCAÇÃO ECOLÓGICA",ESDHC,Mariza Rios,,Direito
"Direitos humanos, processo e democracia",FUIT,Cintia Garabini Lages,Renata Mantovani de Lima,Direito
Doenças Infectocontagiosas do Sertão Paraibano,FSM,Sheylla Nadjane Batista Lacerda,,Saúde Coletiva
Doenças neurodegenerativas e neurogenéticas,UFC,Pedro Braga Neto,Manoel Alves Sobreira Neto,Medicina
DYNAMIS - GRUPO DE ESTUDOS E PESQUISAS EM PSICOLOGIA E EDUCAÇÃO,IFG,Gizele Geralda Parreira,Timoteo Madaleno Vieira,Psicologia
E-TICa: Núcleo de Estudos Filosóficos em Ética e Tecnologia da Informação e Comunicação,UFC,Ralph Leal Heck,Francisca Galiléia Pereira da Silva,Filosofia
Ecologia de aves marinhas e divulgação pública da ciência,UERGS,Erli Schneider Costa,,Ecologia
"Edu3C - Grupo de pesquisa em Educação, Cidades, Ciência e Comunicação",UFABC,Tárcio Minto Fabrício,,Educação
Educação de Jovens e Adultos e educação popular: a pesquisa a serviço da prática educativa,UFPB,Luiz Gonzaga Gonçalves,Quezia Vila Flor Furtado,Educação
Educação Financeira,UESB,Ana Paula Teles de Oliveira,,Matemática
Educação no Cerrado e Cidadania - GPECC,UFG,Denise de Oliveira Alves,José Firmino de Oliveira Neto,Educação
Educação Popular e Políticas Públicas,UFPB,Emília Maria da Trindade Prestes,Adriana Valéria Santos Diniz,Educação
"Educação, Política, Diferença",UFR,Merilin Baldan,,Educação
Embryolab Biotechnology - Biotecnologias Aplicadas à Reprodução,UFSM,Gilson Antônio Pessoa,Carlos Eduardo Porciuncula Leonardi,Medicina Veterinária
"Empresa, Desenvolvimento e Cidadania",UNIMAR,Mariana Ribeiro Santiago,,Direito
Enfermagem e Saúde do Trabalhador,UFRJ,Regina Celia Gollner Zeitoune,Rosângela Marion da Silva,Enfermagem
ENGENHARIA DE SEGURANÇA DE PROCESSOS,UFMT,Loyse Tussolini,,Engenharia de Produção
Ensino de Genética a partir de Metodologias Ativas,UniAcademia,Leticia Stephan Tavares,,Genética
"Ensino, Formação de professores e Práticas Educativas",IF Goiano,Camila Regina do Vale,,Educação
Equações Diferenciais não lineares para modelos físicos e biológicos,UnB,Carlos Alberto Pereira dos Santos,Willian Cintra da Silva,Matemática
"ESTADO, ADMINISTAÇÃO PÚBLICA E DEMOCRACIA",UFPI,Robertonio Santos Pessoa,,Direito
"Estado, Organizações e Desenvolvimento",IFNMG,André Luis Rabelo Cardoso,,Administração
Estratégias da arte em uma era de catástrofes,UFMG,Maria Angelica Melendi de Biasizzo,Adolfo Enrique Cifuentes,Artes
"Estruturas Não Necessariamente Associativas, Suas Representações, Identidades e Relações",USP,Vyacheslav Futorny,Ivan Chestakov,Matemática
Estudos de Evasão no Ensino Superior: Uma abordagem quantitativa,UFSJ,Rejane Corrêa da Rocha,,Probabilidade e Estatística
ESTUDOS E ENSINO DO TEXTO - GEENTE,UECE,Maria Helenice Araújo Costa,,Lingüística
"Estudos em Epidemiologia, Tecnologia e Tratamento de Doenças Respiratórias, Distúrbios do Sono e Ventilação Pulmonar",ESCS,Heloisa Glass,,Medicina
ESTUDOS FAUNÍSTICOS DO ESTADO DA BAHIA,UNEB,Jaqueline dos Santos Cardoso,Kamila Santos Barros,Zoologia
"Estudos sobre a morte, o morrer e o processo de luto",UNAERP,Juliana Vendruscolo,,Saúde Coletiva
"ExBrain - Grupo de Pesquisa Interdisciplinar em Exercício Físico, Saúde e Neurociências",UFSM,Jessié Martins Gutierres,,Educação Física
Feminismos e História das Mulheres,UnB,Neuza de Farias Araújo,Maria Elenita Menezes Nascimento,Turismo
Fisiologia e Biologia do Desenvolvimento,UNILA,Danúbia Frasson Furtado,Carla Vermeulen Carvalho Grade,Biologia Geral
Fitossanidade e Agroecossistemas,UNITINS,Roberta Zani da Silva,Efrain de Santana Souza,Agronomia
"FORDAPP - FORMAÇÃO DOCENTE, DIREITO DE APRENDER E PRÁTICAS PEDAGÓGICAS.",UNIUBE,Gercina Santana Novais,Tiago Zanquêta de Souza,Educação
Friedrich Nietzsche: Contemporaneidade política e estética,UFPA,Ivan Risafi de Pontes,,Filosofia
Garantias constitucionais e interfaces com a jurisdição constitucional para a efetivação dos direitos fundamentais,UNAERP,Olavo Augusto Vianna Alves Ferreira,,Direito
GEBAP Grupo de Estudos Bakhtinianos do Pampa,UNIPAMPA,Moacir Lopes de Camargos,Fabiana Giovani,Educação
"GEDISEX - Grupo de Pesquisas e Práticas em Gênero, Diversidade e Sexualidade",IFBAIANO,Ferdinando Santos de Melo,Cecília Nunes da Silva,Ciência Política
"GeeST - Grupo de Estudos em Gestão do Cuidado, Editoração Científica e Saúde do Trabalhador",UEL,Renata Perfeito Ribeiro,Aline Franco da Rocha,Enfermagem
"GENPOSS - Grupo de Estudos e Pesquisa em Gênero, Política Social e Serviços Sociais",UnB,Marlene Teixeira Rodrigues,Anabelle Carrilho da Costa,Serviço Social
"GEOMEROS - GEOSSISTEMAS, MODELIZAÇÃO GRÁFICA COM RECURSOS ORBITAIS DE SENSORES MULTIESPECTRAIS",UNIFESSPA,Abraão Levi dos Santos Mascarenhas,Maria Rita Vidal,Geografia
GEPEMMAT- Grupo de Estudos e Pesquisa sobre Educação Matemática e Modelagem Matemática,UTFPR,Michele Carvalho de Barros,Priscila Amara Patricio de Melo,Educação
"GEPENC - Grupo de Estudos e Pesquisas em Educações, Narrativas, Culturas e Ciências",UTFPR,Cristiane Beatriz Dal Bosco Rezzadori,Alexandre Luiz Polizel,Educação
GEPES Grupo de Estudos e Pesquisas em Educação Especial,UFGD,Morgana de Fátima Agostini Martins,Relma Urel Carbone Carneiro,Educação
GEPPEF Grupo de Estudos e Pesquisas Pedagógicas em Educação Física,UFMA,Raimundo Nonato Assunção Viana,Silvana Martins de Araujo,Educação Física
GESOCIOLIN,UFPA,Raquel Maria da Silva Costa Furtado,Benedita Maria do Socorro Campos de Sousa,Lingüística
Gestão de operações e desempenho organizacional,IFES,Thalmo de Paiva Coelho Junior,,Engenharia de Produção
GETin - Grupo de Estudos e Pesquisa em Tecnologia e Inovação,UEL,Altibano Ortenzi Junior,,Engenharia de Produção
GIEI Grupo Interdisciplinar de Educação e Inclusão,UNIRIO,Diógenes Pinheiro,Ediclea Mascarenhas Fernandes,Educação
GIFel - Grupo de Estudos de Inglês como Língua Franca e Estudos Lingúisticos,UFGD,Marcelo Saparas,,Lingüística
GP-CTS: Grupo de Pesquisa em Educação Científica e Movimento CTS,UESB,Paulo Marcelo Marini Teixeira,Maria de Lourdes Oliveira Porto,Educação
GPEJA-Grupo de Pesquisa sobre Educação de Jovens e Adultos,IFMT,Nadir de Fatima Borges Bittencourt,Silvia Maria dos Santos Stering,Educação
"GPESC - Grupo de Pesquisa Enfermagem, Saúde e Cidadania",UFMT,Aparecida Fátima Camila Reis,Rosa Lúcia Rocha Ribeiro,Enfermagem
GPTS - Grupo de Pesquisa em Trabalho e Sociedade,UFPB,Pâmela Adelino Ramos Albertins,Helen Silva Gonçalves,Administração
Grupo de Análise e Processamento de Sinais em Sistemas Não-Lineares,UFGD,Marcus Vinicius Monteiro Varanis,,Engenharia Mecânica
GRUPO DE DINÂMICA DE FLUIDOS COMPUTACIONAL APLICADA A HIDRODINÂMICA NAVAL,UFPA,Mounsif Said,André Vinícius da Costa Araujo,Engenharia Naval e Oceânica
"Grupo de Educação e Psicologia- estudos e pesquisas em desenvolvimento humano, aprendizagem escolar , inclusão e diversidade/GEPDAD",UFPA,Neide Maria Fernandes Rodrigues de Sousa,César Augusto Martins de Souza,Educação
Grupo de Eletroquímica IQSC/USP,USP,Edson Antonio Ticianelli,Germano Tremiliosi Filho,Química
Grupo de estudios gramaticales y sociohistóricos del español Fontanella de Weinberg,UFBA,Carlos Felipe da Conceição Pinto,,Lingüística
Grupo de Estudo e Pesquisa em Planejamento Urbano e Mobilidade ¿ GEPLAM,UFSC,Arnoldo Debatin Neto,João Carlos Souza,Planejamento Urbano e Regional
"Grupo de Estudo em avaliação, manejo e programas de rastreio em nutrição, reabilitação e mecanismos fisiopatológicos nas doenças respiratórias",UNESP,Suzana Erico Tanni,,Medicina
GRUPO DE ESTUDOS DE CARDIOLOGIA (GECARD),UERR,Perla Alves Martins Lima,,Medicina
Grupo de Estudos e Pesquisa Aplicada em Gestão Pública e Empresarial - GEPAG,UFF,Cristiano Souza Marins,,Administração
Grupo de Estudos e Pesquisa Educação em Ciências e Temas Contemporâneos,UFSC,Karine Raquiel Halmenschlager,,Educação
Grupo de Estudos e Pesquisa em Educação Infantil e Teoria Histórico-Cultural.,UNESP,Eliza Maria Barbosa,Francisco José Carvalho Mazzeu,Educação
