last_update;lattes_id;name
2026/03/31 16:44:51.000;;mariadaconceicaofonseca-silva
2026/03/27 16:13:42.000;;cristinamariad'avilateixeira
2026/03/27 16:13:42.000;;cristinamariad'avilateixeira
2026/02/23 20:59:05.000;;rejanemarialira-da-silva
2026/02/23 20:59:05.000;;rejanemarialira-da-silva
2026/01/19 18:56:11.000;;lucianadutra-thome
2026/01/19 18:56:11.000;;lucianadutra-thome
2026/04/15 17:33:10.000;;anaelisabethsimoesbrandao-bethrangel
2026/04/15 17:33:10.000;;anaelisabethsimoesbrandao-bethrangel
2026/05/11 18:28:04.000;;angelamarisadeaquinomiranda-scippa
2026/05/11 18:28:04.000;;angelamarisadeaquinomiranda-scippa
2026/05/11 11:17:33.000;;angelomarciooliveirasant'anna
2026/05/11 11:17:33.000;;angelomarciooliveirasant'anna
2025/02/11 10:12:57.000;;claudionogueirasant`anna
2025/02/11 10:12:57.000;;claudionogueirasant`anna
2026/03/01 17:25:04.000;;edsonfernandesd'oliveirasantosneto
2026/03/01 17:25:04.000;;edsonfernandesd'oliveirasantosneto
2026/04/14 11:40:51.000;;mariasofiavillas-boasguimaraes
2026/04/14 11:40:51.000;;mariasofiavillas-boasguimaraes
2026/01/13 13:05:07.000;;mauriciorequiaodesant'ana
2026/01/13 13:05:07.000;;mauriciorequiaodesant'ana
2026/02/03 17:27:02.000;;monicadeaguiarmac-allisterdasilva
2026/02/03 17:27:02.000;;monicadeaguiarmac-allisterdasilva
2025/05/15 23:21:15.000;;robertosant'annasacramento
2025/05/15 23:21:15.000;;robertosant'annasacramento
2026/05/11 14:30:20.000;;anamarciaduartenunes
2026/05/11 14:30:20.000;;anamarciaduartenunes
2026/04/23 20:06:41.000;;ameliacristinamendesdemagalhaesgusmao
2026/04/23 20:06:41.000;;ameliacristinamendesdemagalhaesgusmao
2026/04/19 15:47:31.000;;sindianysuelencadudamartins
2026/04/10 11:55:23.000;;marinamartins
2025/03/19 10:33:36.000;;sabrinamarasant'anna
2026/04/06 14:26:29.000;;anaelisadel'arcovinhascosta
2026/05/20 23:31:36.000;;joserobertosantossampaio-robertolaplagne
2026/04/13 10:33:11.000;;edmilsonsantossilva
2026/05/20 16:07:56.000;;normasuelyevangelista-barreto
2026/02/19 16:43:36.000;;ben-hurramosferreiragoncalves
2026/02/19 20:17:59.000;;mariahelenamachadopiza-figueiredo
2026/05/11 17:09:45.000;;lorenaferreiradesouza
